slottable_name,type,rarity,armor,dexterity,expertise,ferocity,magic_penetration,mastery,occult_aversion,penetration,potency,power,precision,toughess,vitality,TOTAL STATS,special_weapon,special_armor,special_accessory,r,g,b
Cow Hide,Leather,Common,9,12,0,0,0,0,0,0,0,10,0,10,30,71,,,,105,61,36
Elk Hide,Leather,Common,12,10,0,5,0,0,0,0,0,10,0,10,40,87,,,,180,150,132
Bear Hide,Leather,Uncommon,15,5,0,20,0,0,0,0,0,10,0,15,50,115,,,,43,29,20
Boar Hide,Leather,Uncommon,10,10,0,10,0,0,0,0,0,15,0,30,50,125,,,,89,82,78
Wolf Hide,Leather,Uncommon,5,20,0,15,0,0,0,15,0,20,15,0,20,110,,,,150,150,150
Direhorn Hide,Leather,Rare,20,10,0,25,0,0,0,0,0,20,0,20,80,175,,,,59,65,117
Direwolf Hide,Leather,Rare,10,30,0,25,0,0,0,25,0,30,25,0,30,175,,,,80,80,90
Troll Hide,Leather,Rare,30,0,0,10,0,0,10,0,5,20,0,40,80,195,,,,48,84,56
Whelp Hide,Leather,Rare,10,20,10,0,0,20,30,0,20,5,0,20,50,185,,,,41,110,39
Chort Hide,Leather,Epic,35,10,0,30,0,0,15,0,0,35,0,25,110,260,,,,77,27,24
Drake Hide,Leather,Epic,15,20,25,0,20,25,35,0,20,5,0,30,70,265,,,,112,92,0
Dragon Hide,Leather,Legendary,,,,,,,,,,,,,,0,,,,,,
Leviathan Hide,Leather,Legendary,,,,,,,,,,,,,,0,,,,,,
Alexandrite,Gem,Uncommon,0,0,0,30,0,0,0,0,0,30,0,0,0,60,,,,74,33,117
Emerald,Gem,Uncommon,0,30,0,0,0,30,0,0,0,0,0,0,0,60,,,,53,150,83
Jade,Gem,Uncommon,0,0,0,0,0,0,0,30,0,0,30,0,0,60,,,,22,161,18
Opal,Gem,Uncommon,0,0,30,0,0,30,0,0,0,0,0,0,0,60,,,,72,159,189
Sapphire,Gem,Uncommon,20,0,0,0,0,0,20,0,0,0,0,0,30,70,,,,9,24,184
Amber,Gem,Rare,0,0,30,0,0,30,0,30,0,0,0,0,0,90,,,,240,193,65
Citrine,Gem,Rare,0,30,0,0,30,0,0,0,30,0,0,0,0,90,,,,222,164,78
Ruby,Gem,Rare,0,0,0,0,0,0,0,30,0,30,30,0,0,90,,,,156,0,13
Topaz,Gem,Rare,30,0,0,0,0,0,30,0,0,0,0,0,30,90,,,,168,215,240
Amethyst,Gem,Epic,,,,,,,,,,,,,,0,,,,,,
Beryl,Gem,Epic,,,,,,,,,,,,,,0,,,,,,
Peridot,Gem,Epic,,,,,,,,,,,,,,0,,,,,,
Pyrite,Gem,Epic,,,,,,,,,,,,,,0,,,,,,
Bloodstone,Gem,Legendary,,,,,,,,,,,,,,0,,,,,,
Moonstone,Gem,Legendary,,,,,,,,,,,,,,0,,,,,,
Tanzanite,Gem,Legendary,,,,,,,,,,,,,,0,,,,,,
Cotton,Fabric,Common,,,,,,,,,,,,,,0,,,,,,
Jute,Fabric,Common,,,,,,,,,,,,,,0,,,,,,
Linen,Fabric,Common,,,,,,,,,,,,,,0,,,,,,
Silk,Fabric,Uncommon,,,,,,,,,,,,,,0,,,,,,
Wool,Fabric,Uncommon,,,,,,,,,,,,,,0,,,,,,
Gossamer,Fabric,Rare,,,,,,,,,,,,,,0,,,,,,
Mooncloth,Fabric,Epic,,,,,,,,,,,,,,0,,,,,,
Runecloth,Fabric,Epic,,,,,,,,,,,,,,0,,,,,,
Darkweave,Fabric,Legendary,,,,,,,,,,,,,,0,,,,,,
Lightweave,Fabric,Legendary,,,,,,,,,,,,,,0,,,,,,
